Year,Week,Deaths,Population,BaselineRate,Expected,Excess,CumulativeExcess
2000,25,1196.0,13711508,5.567924762611161e-05,763.4464492594104,432.55355074058957,15750.954073537501
2000,26,1044.0,13711508,5.85191710413552e-05,802.3860818869101,241.61391811308988,15992.567991650592
2000,27,944.0,13711508,5.9012348809496054e-05,809.1482928001956,134.85170719980442,16127.419698850397
2000,28,1070.0,13711508,5.7282299629780085e-05,785.4267096321266,284.57329036787337,16411.99298921827
2000,29,986.0,13711508,5.955847340505576e-05,816.6364845612093,169.36351543879073,16581.356504657062
2000,30,932.0,13711508,5.857417562080834e-05,803.1402776181185,128.8597223818815,16710.21622703894
2000,31,1082.0,13711508,5.6826415335134464e-05,779.1758484790189,302.8241515209811,17013.040378559923
2000,32,1020.0,13711508,5.8493538363922585e-05,802.0346192252315,217.9653807747685,17231.00575933469
2000,33,948.0,13711508,5.6511385467957156e-05,774.8563139349783,173.1436860650217,17404.149445399715
2000,34,1006.0,13711508,5.4958754195093555e-05,753.5673978160588,252.43260218394119,17656.582047583655
2000,35,1022.0,13711508,5.858066577832256e-05,803.2292674647961,218.77073253520393,17875.352780118857
2000,36,1024.0,13711508,5.7026871515970345e-05,781.9244050061995,242.07559499380045,18117.42837511266
2000,37,1044.0,13711508,5.861293822858269e-05,803.6717714247173,240.32822857528265,18357.75660368794
2000,38,1066.0,13711508,5.892589155805512e-05,807.9628335054052,258.03716649459477,18615.793770182536
2000,39,932.0,13711508,6.0129515810662323e-05,824.4663370740229,107.53366292597707,18723.327433108512
2000,40,1080.0,13711508,6.179666208417639e-05,847.3254265404812,232.6745734595188,18956.002006568033
2000,41,1010.0,13711508,6.21141866598976e-05,851.6791673006793,158.3208326993207,19114.32283926735
2000,42,1040.0,13711508,5.7892365318525756e-05,793.7916302038884,246.20836979611158,19360.531209063465
2000,43,1120.0,13711508,6.113801157143884e-05,838.2943347658763,281.70566523412367,19642.23687429759
2000,44,1056.0,13711508,5.8692510190639125e-05,804.7628230190298,251.23717698097016,19893.474051278557
2000,45,1022.0,13711508,6.33731914829564e-05,868.9420220040885,153.05797799591153,20046.53202927447
2000,46,1058.0,13711508,6.170314808778597e-05,846.0432086308621,211.95679136913793,20258.488820643608
2000,47,1054.0,13711508,5.8838707674346465e-05,806.767410986463,247.232589013537,20505.721409657144
2000,48,1060.0,13711508,6.145073276374049e-05,842.5822138958898,217.41778610411018,20723.139195761254
2000,49,936.0,13711508,6.332100216364649e-05,868.2264277348561,67.77357226514391,20790.9127680264
2000,50,1030.0,13711508,6.458099021621689e-05,885.5027639975797,144.49723600242032,20935.410004028818
